"type","category","service_id","business_id","sender","recipient","created","completed","expired","status","amount"
"1","2","0","31029","mazzumaexchange","stark","2019-07-15 03:38:57","2019-07-15 03:38:57","0","1","12.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-17 07:58:43","2019-07-17 07:58:43","0","1","2.14000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:21:16","2019-07-22 12:21:16","0","1","12.00000000"
"1","2","0","63","stark","mrgenfi","2019-07-22 12:24:08","2019-07-22 12:24:08","0","1","12.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:27:15","2019-07-22 12:27:15","0","1","2.23000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:31:28","2019-07-22 12:31:28","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:33:07","2019-07-22 12:33:08","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:35:26","2019-07-22 12:35:26","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:36:20","2019-07-22 12:36:20","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:41:16","2019-07-22 12:41:16","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-07-22 12:43:38","2019-07-22 12:43:38","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-07-22 12:44:32","2019-07-22 12:44:33","0","1","2.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 12:45:09","2019-07-22 12:45:09","0","1","2.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:17:13","2019-07-22 17:17:13","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:17:59","2019-07-22 17:17:59","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:22:21","2019-07-22 17:22:22","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:25:46","2019-07-22 17:25:47","0","1","1.80000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:26:34","2019-07-22 17:26:34","0","1","1.44000000"
"1","2","0","63","stark","mrgenfi","2019-07-22 17:30:02","2019-07-22 17:30:02","0","1","12.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:44:12","2019-07-22 17:44:13","0","1","1.80000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 17:49:25","2019-07-22 17:49:25","0","1","1.80000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-22 18:36:24","2019-07-22 18:36:24","0","1","1.00000000"
"1","2","0","31119","exchangewallet","mazzumaexchange","2019-07-24 17:45:15","2019-07-24 17:45:16","0","1","100.00000000"
"1","2","0","31119","exchangewallet","mazzumaexchange","2019-07-24 17:45:55","2019-07-24 17:45:56","0","1","2900000.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-28 19:56:39","2019-07-28 19:56:40","0","1","25.00000000"
"1","2","0","142","kmanu","stark","2019-07-29 16:51:01","2019-07-29 16:51:01","0","1","1.12340000"
"1","2","0","142","kmanu","stark","2019-07-30 16:31:21","2019-07-30 16:31:21","0","1","1.56780000"
"1","2","0","142","kmanu","stark","2019-08-06 17:57:19","2019-08-06 17:57:19","0","1","0.12300000"
"1","2","0","142","kmanu","stark","2019-08-19 17:38:21","2019-08-19 17:38:21","0","1","0.23450000"
"1","2","0","31119","exchangewallet","stark","2019-09-10 17:17:16","2019-09-10 17:17:16","0","1","1.00000000"
"1","2","0","31119","exchangewallet","stark","2019-09-10 17:17:51","2019-09-10 17:17:51","0","1","1.20000000"
"1","2","0","63","stark","kmanu","2019-09-10 17:21:37","2019-09-10 17:21:38","0","1","12.00000000"
"1","2","0","63","stark","kmanu","2019-09-10 17:22:04","2019-09-10 17:22:05","0","1","12.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 17:56:33","2019-09-12 17:56:34","0","0","1.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 17:57:12","2019-09-12 18:11:57","0","1","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 17:59:01","2019-09-12 17:59:02","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 17:59:34","2019-09-12 17:59:34","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:00:51","2019-09-12 18:00:52","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:01:25","2019-09-12 18:01:26","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:04:14","2019-09-12 18:04:14","0","0","2.00000000"
"1","2","0","63","stark","kmanu","2019-09-12 18:06:23","2019-09-12 18:06:24","0","1","2.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 18:06:46","2019-09-12 18:11:26","0","1","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:07:27","2019-09-12 18:07:27","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:08:21","2019-09-12 18:08:22","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:09:01","2019-09-12 18:09:02","0","0","2.00000000"
"1","2","0","63","stark","kmanu","2019-09-12 18:12:56","2019-09-12 18:12:57","0","1","2.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 18:13:09","2019-09-12 18:13:09","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:13:45","2019-09-12 18:13:45","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:13:58","2019-09-12 18:13:58","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:15:33","2019-09-12 18:15:34","0","0","2.00000000"
"3","1","0","63","stark","stark","2019-09-12 18:15:52","2019-09-12 18:15:52","0","0","2.00000000"
"1","2","0","63","stark","kmanu","2019-09-12 18:16:14","2019-09-12 18:16:14","0","1","2.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 18:16:28","2019-09-17 10:22:47","0","2","2.00000000"
"1","2","0","63","stark","kmanu","2019-09-12 18:17:05","2019-09-12 18:17:05","0","1","2.00000000"
"3","1","0","63","kmanu","stark","2019-09-12 18:17:24","2019-09-17 10:22:38","0","2","2.00000000"
"1","2","0","31622","simex","mazzumaexchange","2019-09-17 15:12:52","2019-09-17 15:12:53","0","1","2893553.39000000"
